parents,husband,wife,husband_id,wife_id,n_sons,sons,n_daughters,daughters,n_unknown_sex,epic,source,comments,row_type,historicity,family_id
Siva (Parabaravastu Masculine) & Sakti (Parabaravastu Feminine),Siva (Parabaravastu Masculine),Sakti (Parabaravastu Feminine),ziegenbalg_south_indian::siva_parabaravastu,ziegenbalg_south_indian::sakti_parabaravastu,3,"Isvara, Vishnu, Brahma",0,,0,ziegenbalg_south_indian,Part I Ch.III-IV; Table pp.1-2,"Cosmogonic emanation. Siva as masculine power produces the Mummurttis. Sakti produces Nava-Sakti (9 goddesses). Rudra, Mahesvara, Sadasiva are alternate names of Siva/Isvara, not separate beings.",couple,mythological,F01_parabaravastu
Isvara & Parvati,Isvara,Parvati,ziegenbalg_south_indian::isvara,ziegenbalg_south_indian::parvati,2,"Vighnesvara, Subhramanya",0,,0,ziegenbalg_south_indian,Part II Ch.I-II; Table pp.2-3,"Isvara identical with Siva. Parvati identified with Sakti by Saivas. Also called Uma, Devi, Gauri, Kali, Durga, Ambika, etc. The text says children are not begotten naturally but originate by divine will. Virabhadra also produced by Isvara (Part III Ch.V) but from wrath, not from Parvati.",couple,mythological,F02_isvara_parvati
Isvara & Ganga,Isvara,Ganga,ziegenbalg_south_indian::isvara,ziegenbalg_south_indian::ganga,0,,0,,0,ziegenbalg_south_indian,Part II Ch.II; Table p.2,Secondary wife. Ganga is the river Ganges personified. No children attributed to this union in the text. Represented as a siren (half woman half fish). Not worshipped with images in pagodas but honored through bathing rituals.,couple,mythological,F03_isvara_ganga
Subhramanya & Devayanai,Subhramanya,Devayanai,ziegenbalg_south_indian::subhramanya,ziegenbalg_south_indian::devayanai,0,,0,,0,ziegenbalg_south_indian,Part II Ch.IV; Table p.3,"Devayanai (also Devasena) is the daughter of Devendra (Indra). First wife, married after Subhramanya's victory over the giant Sura. No children mentioned.",couple,mythological,F04_subhramanya_devayanai
Subhramanya & Valliammai,Subhramanya,Valliammai,ziegenbalg_south_indian::subhramanya,ziegenbalg_south_indian::valliammai,0,,0,,0,ziegenbalg_south_indian,Part II Ch.IV; Table p.3,Valliammai was born of a roe and brought up by basket-makers. Second wife. No children mentioned. Devadasis (temple dancing-girls) are betrothed to Subhramanya.,couple,mythological,F05_subhramanya_valliammai
Vishnu & Lakshmi,Vishnu,Lakshmi,ziegenbalg_south_indian::vishnu,ziegenbalg_south_indian::lakshmi,1,Manmatha,0,,0,ziegenbalg_south_indian,Part II Ch.V-VII; Table pp.3-5,"Lakshmi is the goddess of beauty and fortune. Identified with Sakti by Vaishnavas. Manmatha (Cupid/Kama) is the 'mental son' of Vishnu. When Vishnu incarnated as Rama, Lakshmi was Sita, and their sons were Kusa and Lava (listed under Rama-Sita couple). Lakshmi rose from sea of milk. Eight forms (Ashta-Lakshmi).",couple,mythological,F06_vishnu_lakshmi
Vishnu & Bhumidevi,Vishnu,Bhumidevi,ziegenbalg_south_indian::vishnu,ziegenbalg_south_indian::bhumidevi,0,,0,,0,ziegenbalg_south_indian,Part II Ch.VI; Table p.5,Bhumidevi is the goddess of the earth. Secondary wife. Not worshipped; no image in pagodas. No children attributed to this union.,couple,mythological,F07_vishnu_bhumidevi
Manmatha & Rati,Manmatha,Rati,ziegenbalg_south_indian::manmatha,ziegenbalg_south_indian::rati,0,,0,,0,ziegenbalg_south_indian,Part II Ch.VII; Table p.5,"Manmatha (Kama/Cupid) is the god of sensual love, mental son of Vishnu. Rati (Lust) is his wife. Burnt to ashes by Isvara's third eye for disturbing his meditation, then revived but made invisible to all except Rati. No children listed in this text. (Other sources give Pradyumna as incarnation of Manmatha, with son Aniruddha.)",couple,mythological,F08_manmatha_rati
Rama (Vishnu incarnation) & Sita (Lakshmi incarnation),Rama (Vishnu incarnation),Sita (Lakshmi incarnation),ziegenbalg_south_indian::rama,ziegenbalg_south_indian::sita,2,"Kusa, Lava",0,,0,ziegenbalg_south_indian,"Part II Ch.V,VII; Table p.5","Rama is Vishnu's seventh incarnation, son of Dasaratha. Sita is Lakshmi incarnate. Kusa born to Sita; Lava said to be created by Rishi Valmiki from Darbha grass and adopted by Sita/Rama. Text describes Rama's repudiation and later reconciliation with Sita.",couple,mythological,F09_rama_sita
Krishna (Vishnu incarnation) & Rukmini,Krishna (Vishnu incarnation),Rukmini,ziegenbalg_south_indian::krishna,ziegenbalg_south_indian::rukmini,1,Pradyumna,0,,0,ziegenbalg_south_indian,"Part II Ch.V,VII; pp.78-79","Krishna is Vishnu's eighth incarnation. Rukmini was his only lawful wife. Pradyumna identified as incarnation of Manmatha. Text says Krishna had 16000 mistresses including seven favorites, plus Radha. Text claims 108000 sons total but names only Pradyumna.",couple,mythological,F10_krishna_rukmini
