parent,epic,ritual_type,desired_gender,sons_born,daughters_born,children_from_prayer,source,comments
Abraham and Sarah,hebrew_bible,divine promise,son,1,0,Isaac,Genesis 17:16-19; 21:1-3,
Abraham and Hagar,hebrew_bible,divine promise,son,1,0,Ishmael,Genesis 16:10-11,
Isaac and Rebekah,hebrew_bible,prayer to God,unspecified,2,0,"Esau, Jacob",Genesis 25:21,Rebekah was barren; Isaac entreated the Lord
Rachel,hebrew_bible,prayer to God,unspecified,1,0,Joseph,Genesis 30:22-24,Rachel was barren; 'God remembered Rachel'
Rachel (2nd prayer),hebrew_bible,prayer in labor,son,1,0,Benjamin,Genesis 35:16-18,named Ben-oni ('son of my sorrow') as she died
Hannah,hebrew_bible,vow at Shiloh,son,1,0,Samuel,1 Samuel 1:10-20,vowed to dedicate the child to God
Manoah and wife,hebrew_bible,angelic annunciation,son,1,0,Samson,Judges 13:3-24,wife was barren; angel announced a son
Zechariah and Elizabeth,hebrew_bible,angelic annunciation,son,1,0,John the Baptist,Luke 1:5-13,Elizabeth was barren; Gabriel announced a son
Zakariya,quran,du'a (supplication),son,1,0,Yahya,Surah Maryam 19:2-7; Al Imran 3:38,"Lord, grant me a righteous heir'"
Ibrahim,quran,du'a (supplication),son,1,0,Isma'il,Surah As-Saffat 37:100-101,"My Lord, grant me a righteous son'"
Ibrahim (2nd),quran,divine annunciation,son,1,0,Ishaq,Surah Hud 11:71; As-Saffat 37:112,angels announced to Sarah
Kunti via Dharma,mahabharat,mantra invocation,son,1,0,Yudhishthira,Mahabharata Adi Parva Ch.123,Pandu asked Kunti to invoke a god for a son
Kunti via Vayu,mahabharat,mantra invocation,son,1,0,Bhima,Mahabharata Adi Parva Ch.124,
Kunti via Indra,mahabharat,mantra invocation,son,1,0,Arjuna,Mahabharata Adi Parva Ch.124,
Kunti via Surya,mahabharat,mantra invocation,unspecified,1,0,Karna,Mahabharata Adi Parva Ch.111,"premarital; Kunti tested the mantra, did not specify gender"
Madri via Ashvini Kumaras,mahabharat,mantra invocation,son,2,0,"Nakula, Sahadeva",Mahabharata Adi Parva Ch.124,Kunti shared mantra with Madri
Drupad,mahabharat,yajna (fire ritual),son,1,1,"Dhrishtadyumna, Draupadi",Mahabharata Adi Parva Ch.167,prayed for a son to kill Drona; the yajna produced both a son and an unasked-for daughter (Draupadi) from the same fire
Gandhari,mahabharat,boon from Vyasa,son,100,1,"100 Kauravas, Dushala",Mahabharata Adi Parva Ch.115,asked Vyasa for 100 sons; received 100 sons plus one daughter (Dushala) who was not requested
Uttara,mahabharat,divine intervention (Krishna),son,1,0,Parikshit,Mahabharata Ashvamedhika Parva,stillborn child revived by Krishna
Dasharatha,ramayan,Putrakameshti yajna,son,4,0,"Rama, Bharata, Lakshmana, Shatrughna",Ramayana Bala Kanda Ch.15-18,performed by Rishyashringa; fire god handed payasam to three queens
Aditi,bhagavata_purana,Payovrata ritual,son,1,0,Vamana,Bhagavata Purana 8.16-17,prayed for a son to defeat the demons; Vishnu incarnated as Vamana
Dirse Khan,dede_korkut,prayer to Allah + feast,son,1,0,Boghach Khan,"Book of Dede Korkut, Story 1 (Lewis trans.)","mocked for being childless; fed the hungry, clothed the naked, then prayed"
Parvati,shiva_purana,tapas (austerity),son,1,0,Kartikeya,Shiva Purana Rudra Samhita,performed intense austerities to win Shiva as husband and bear a son to defeat Tarakasura
